drawdate,n1,n2,n3,n4,n5,prize_5,prize_4,prize_3
2012-01-31,1,7,8,11,24,325000.5,129.5,7
2012-01-30,12,13,17,34,37,0,304.5,12
2012-01-29,16,26,33,41,43,0,444.5,18
2012-01-28,1,6,16,21,39,125000,176.5,11.5
2012-01-27,14,23,25,33,43,330000,289,12
2012-01-26,12,13,15,34,36,0,311,14
2012-01-25,4,6,12,13,23,0,149,7
2012-01-24,6,20,33,35,39,727647,299.5,13
2012-01-23,5,16,20,31,37,0,340.5,12
2012-01-22,2,20,24,33,40,0,330.5,14
2012-01-21,8,9,12,26,43,0,285,10
2012-01-20,5,9,38,41,43,0,346,15
2012-01-19,14,30,31,33,36,330695,241.5,13.5
2012-01-18,13,25,34,35,43,0,357.5,14
2012-01-17,3,23,39,40,41,0,424.5,16.5
2012-01-16,12,18,19,25,40,225000,238,12
2012-01-15,6,9,21,23,25,0,157,8
2012-01-14,4,9,13,16,29,778132,171,9.5
2012-01-13,3,6,9,15,42,0,179.5,10
2012-01-12,14,25,27,31,43,0,339.5,12.5
2012-01-11,4,24,26,32,40,0,325,13.5
2012-01-10,2,19,25,30,42,0,366,13
2012-01-09,4,12,19,21,36,501034.5,198.5,9.5
2012-01-08,1,9,20,24,35,0,275,11.5
2012-01-07,6,21,22,31,35,0,290.5,12.5
2012-01-06,2,9,13,14,36,0,224,11.5
2012-01-05,21,27,33,39,40,225000,336,14.5
2012-01-04,6,9,12,18,40,0,208,9.5
2012-01-03,18,20,27,30,35,125000,270.5,12
2012-01-02,6,7,22,29,33,330000,249.5,10
2012-01-01,12,15,36,40,41,0,377,16.5
2013-12-31,14,22,25,28,38,5e+05,322,12
2013-12-30,2,4,13,15,36,0,262,11.5
2013-12-29,2,13,24,29,39,0,211,11
2013-12-28,4,13,18,34,41,0,299.5,14
2013-12-27,9,16,17,25,37,325000,225,11
2013-12-26,17,19,22,38,41,0,358,13.5
2013-12-25,5,17,21,26,35,0,219,10
2013-12-24,5,7,8,10,25,325000,109,6.5
2013-12-23,9,17,25,32,42,0,287,13
2013-12-22,2,4,11,14,38,0,186.5,9.5
2013-12-21,1,11,33,35,37,225000,274,12.5
2013-12-20,13,14,23,31,42,0,312.5,13
2013-12-19,13,17,19,28,35,325000,222,10
2013-12-18,1,2,4,31,34,0,294,11
2013-12-17,2,12,13,34,41,0,363.5,13.5
2013-12-16,5,9,10,12,30,125000,107.5,5.5
2013-12-15,9,15,24,35,43,325000,348.5,13
2013-12-14,2,3,12,17,41,0,200,10
2013-12-13,2,10,22,35,43,0,299,12
2013-12-12,3,10,14,17,25,1e+06,158.5,9
2013-12-11,16,29,35,36,40,0,416,14.5
2013-12-10,8,22,30,39,43,0,305.5,13.5
2013-12-09,1,3,5,12,28,0,92.5,6
2013-12-08,13,14,38,40,42,0,395.5,17
2013-12-07,1,11,23,28,33,0,220,9.5
2013-12-06,2,3,10,17,30,325000,198.5,8
2013-12-05,2,4,5,13,41,0,292.5,10
2013-12-04,18,24,25,27,34,0,301.5,11.5
2013-12-03,5,12,28,37,40,125000,351.5,12
2013-12-02,7,10,21,33,43,225000,207,10
2013-12-01,2,6,8,27,42,0,309,10
2013-11-30,4,18,28,35,42,325000,222.5,12.5
2013-11-29,23,26,27,37,43,0,421,15
2013-11-28,1,3,5,29,34,0,211,8
2013-11-27,7,18,25,26,34,225000,277.5,11
2013-11-26,1,5,6,9,40,0,176.5,8.5
2013-11-25,5,19,21,29,38,700000.5,252,10
2013-11-24,6,29,34,35,42,0,386,15
2013-11-23,1,7,18,25,36,0,263.5,10.5
2013-11-22,5,8,14,21,34,0,186.5,10
2013-11-21,8,26,27,28,37,0,337.5,12
2013-11-20,13,29,40,42,43,7e+05,340,14
2013-11-19,11,18,23,31,35,0,295,11
2013-11-18,2,3,4,19,21,0,179.5,7.5
2013-11-17,19,20,21,28,35,0,277.5,11.5
2013-11-16,9,17,18,23,33,0,271,9.5
2013-11-15,4,8,18,22,27,225000,136,8
2013-11-14,2,8,20,33,41,0,302.5,13
2013-11-13,8,10,11,23,24,5e+05,142,8
2013-11-12,7,10,21,34,43,0,312.5,11.5
2013-11-11,2,4,20,27,31,0,208,10.5
2013-11-10,7,31,33,37,43,0,297,14
2013-11-09,1,2,8,17,42,7e+05,257,10.5
2013-11-08,10,16,30,35,39,0,310,12.5
2013-11-07,3,7,25,28,41,0,294.5,10.5
2013-11-06,5,18,21,22,33,0,219,10
2013-11-05,1,6,9,22,31,0,184.5,8.5
2013-11-04,6,7,23,28,36,225000,312.5,11
2013-11-03,3,8,12,23,34,0,151.5,8
2013-11-02,6,7,12,27,29,325000,166.5,8
2013-11-01,11,16,21,25,40,0,356.5,12
2013-10-31,8,9,31,34,38,0,322,13.5
2013-10-30,10,12,13,29,30,7e+05,205.5,9
2013-10-29,12,19,29,33,42,0,247.5,11.5
2013-10-28,8,22,26,32,41,0,430.5,13.5
2013-10-27,1,6,13,32,41,0,262.5,14
2013-10-26,6,13,15,22,29,0,213.5,9
2013-10-25,3,14,22,27,28,125000,204.5,9.5
2013-10-24,16,33,38,39,40,225000,388,16.5
2013-10-23,14,27,29,38,43,0,292.5,15.5
2013-10-22,2,3,18,21,31,7e+05,240.5,10
2013-10-21,4,20,23,26,42,0,309.5,12
2013-10-20,16,24,25,32,33,0,295.5,13.5
2013-10-19,6,10,33,38,41,0,351.5,14.5
2013-10-18,7,12,19,32,36,0,262,10.5
2013-10-17,10,13,19,27,37,325000,228.5,10
2013-10-16,16,18,35,37,38,0,452,15.5
2013-10-15,3,4,18,36,43,0,301.5,14.5
2013-10-14,2,21,34,36,39,1e+06,321.5,13.5
2013-10-13,1,5,10,31,38,0,233,10.5
2013-10-12,1,6,11,36,43,0,291.5,12
